,Ranking number,Brand,Brand Value,Platform,Brand Representation,Brand Growth,Rank Change,Followers,Following,Likes,Date created,Posts,Account Grade,Followers Rank,Following Rank,Posts Rank,Followers 30 Days,Following 30 Days,Posts 30 Days
97,67,Nestlé,"10,921",twitter,NestleCA,+3%,DOWN 5 PLACES,"1,723",308,"1,440","Oct 2nd, 2014","2,469",C,"2,316,916th","5,290,047th","4,745,289th",--,--,12 33.3%
98,67,Nestlé,"10,921",twitter,NestleUSA,+3%,DOWN 5 PLACES,"83,208","8,134","3,827","Sep 29th, 2009","12,468",B-,"140,359th","89,558th","2,028,127th",51 141.8%,51 141.8%,7 22.2%
99,67,Nestlé,"10,921",twitter,Nestle,+3%,DOWN 5 PLACES,"287,042",890,"9,094","Mar 6th, 2009","16,622",B,"41,466th","2,379,036th","1,619,970th",161 15.0%,161 15.0%,15 6.3%
100,68,Nintendo,"10,676",twitter,nintendolife,+16%,UP 2 PLACES,"282,549","2,080","4,778","Mar 25th, 2009","130,138",B,"42,237th","786,173rd","109,920th",1.852K 45.1%,1.852K 45.1%,1K 10%
101,68,Nintendo,"10,676",twitter,NintendoVS,+16%,UP 2 PLACES,"253,195",39,258,"Jun 1st, 2017","3,241",B,"47,336th","8,645,677th","4,276,509th",-311 28.3%,-311 28.3%,10 41.2%
102,68,Nintendo,"10,676",twitter,NintendoAmerica,+16%,UP 2 PLACES,"12,603,245",235,347,"Apr 18th, 2007","24,153",A,309th,"5,982,102nd","1,154,692nd",49.1K 13.7%,49.1K 13.7%,78 42.6%
103,68,Nintendo,"10,676",twitter,NintendoCanada,+16%,UP 2 PLACES,"66,924",0,0,"May 28th, 2014","9,509",B-,"169,027th","9,757,212th","2,446,199th",-1 98.4%,-1 98.4%,115 13.5%
104,69,3M,"10,505",twitter,3MCanada,+8%,DOWN 2 PLACES,"9,690","1,108","2,404","May 3rd, 2013","6,352",C+,"759,496th","1,868,518th","3,110,413th",-18 25%,-18 25%,2 108.3%
105,69,3M,"10,505",twitter,3MNews,+8%,DOWN 2 PLACES,"205,613",626,617,"Jun 1st, 2010","4,525",B-,"58,913th","3,301,488th","3,694,808th",-289 29.7%,-289 29.7%,-1 75%
106,69,3M,"10,505",twitter,3M,+8%,DOWN 2 PLACES,"1,360,000","4,762","19,392","Sep 22nd, 2011","13,298",B+,"7,130th","216,906th","1,933,484th",-1.63K 29.3%,-1.63K 29.3%,29 9.4%
